,description
87,"Front of House ManagerJob Detailsn/naka is a two Michelin-starred California kaiseki restaurant led by Chefs Niki Nakayama and Carole Iida. Our highly personal interpretation of kaiseki is devoted to honoring seasonality and providing an intimate, heartfelt guest experience. Our team is driven by “omotenashi”, the Japanese philosophy of wholeheartedly caring for our guests. The FOH Manager will work closely with the chef/owners and all members of the front of house team to ensure an extraordinary dining experience for our guests that is rooted in kindness and a sincere passion for the art of fine dining hospitality. The FOH Manager will be leading the front of house team in all aspects of guest relationships, service standards, and team development and culture. 
WHO YOU ARE:The ideal candidate for this role will possess natural leadership abilities and a passion for hospitality and highly technical fine dining service standards that have been honed through a minimum of three years of experience as a leader on the floor, or in a hands-on managerial position at Two or Three Michelin starred establishments. You are genuinely thoughtful, have incredible attention to details, and possess a natural grace and presence that puts others at ease. Your commitment to extraordinary hospitality stems from your genuine love of serving others - guests and team members alike. You understand that being a leader means holding yourself to a higher standard at all times and leading by example. You are a problem solver and can anticipate any issues that may arise and proactively manage the FOH team to ensure that we exceed our guests’ expectations nightly. You thrive in a small team environment and understand the importance of strategic scheduling, cross-training, and building a positive team culture that respects disciplined accountability. 
Duties and Responsibilities include, but not limited to:Manage, train, and develop all FOH staff following n/naka’s high service standards to create an extraordinary dining experience that is driven by genuine warmth, care, attention to details, and gracefulness.Lead by example proper execution of service standards and protocolsConduct daily and on-going training/development for all FOH team members by clearly communicating performance expectations, providing on-going feedback, and managing regular performance reviewsManage the flow of service through proper communication with chefs, FOH team members, kitchen team members, and valet staff. Continually offer and implement new ideas for the improvement of guest relationships, service standards, reservations, and staff training/developmentEnsure effective hiring, onboarding, professional development, performance management, and staff retention for all FOH positionsManage all reservations related responsibilities, including proper setup and execution of online reservations on Tock, documenting reservations SOPs/policies, training staff on reservations SOPs/policies, updating reservations release dates on website, managing table configurations and releases to optimize business profitabilityContinually manage website information pertaining to hours of operation, reservations, menu changes, and cancellation policies, etcCultivate sincere relationships with guests and oversee all SOPs related to guest relationship management to develop return business and take the utmost care of all guest relationshipsSupport FOH service team by anticipating and solving any guest problems Run and clear food as needed with the FOH team to ensure service and food qualityManage all guest service related communications, including but not limited to emails, phone calls, guest complaints, unique requestsManage all FOH staff opening, closing and security responsibilities through continual updates and oversight of tasks and checklists. Work with chef/owners to manage all FOH staff job posting, hiring, training, disciplining, terminating Expo during service to ensure the smooth flow of serviceLead pre-shift and post-service meetings with FOH teamDirect and manage daily menu updates and productionManage all supplies and inventory related to FOH responsibilitiesManage all POS related responsibilities, including nightly comp/discount audit, guest check closing, tip recording, deposit refundsManage all FOH schedules and time card approvals to ensure proper staffing and labor cost control Work closely with sake and wine director to oversee beverage programs to maximize and meet targeted revenue goals, formulate sales strategies and training for FOH staffEvaluate and implement best practices regarding all guest communication operations including phone, email, online reservations process (i.e. scripts for reservation deferral to website, valet procedures, coat checks, gift certificates, dietary requests, confirmations, deposits, etc.)Develop and revise job descriptions for all FOH positionsCompletion of any FOH termination documents or requests for final paychecks including a letter of resignation Skills and Attributes:3+ years of management experience in two or three Michelin star establishments3+ years of hands on fine dining service experienceExceptional leadership and conflict resolution skillsExceptional communication, service skills, food & beverage knowledge requiredHigh aptitude in decision making and problem solvingAbility to work under pressure and maintain grace and composure at all timesExperience with Tock reservation system and Square POSManager ServSafe certified
 Hours and Working Conditions:Must be available to work service Wednesday to Saturday on site, and work off site on administrative duties as needed on non-service daysMust be able to work occasional holidays, consistent late nights, and occasional special events and buyoutsThe physical demands for this position are seeing, hearing, speaking, reaching, frequently lifting up to 25 pounds, occasionally lifting up to 50 pounds, sitting, standing for 4 to 11 hours, bending, and moving intermittently during working hours. These physical requirements may be accomplished with or without reasonable accommodations.The duties of this position may change from time to time. n/naka reserves the right to add or remove duties and responsibilities at the discretion of Ownership or its managers. This job description is intended to describe the general level of work being performed. It is not intended to be all-inclusive.n/naka is proud to be an Equal Opportunity Employer. We do not discriminate on the basis of race, color, creed, religion, gender (including gender identity or expression), pregnancy, childbirth or related medical conditions, sexual orientation, marital status, domestic violence, sexual violence or stalking victim status, ancestry, national origin, alienage or citizenship, age, disability, military or veteran status, genetic information or predisposing genetic characteristic, or other protected status.

"
88,"Robot Monitor & Maintenance TechnicianAt ViaBot, we pride ourselves in being the first autonomous property management solution for commercial properties. We are looking to bring onto our team a Robot Monito who works 2nd/3rd shift (7pm - 3am) Thursday - Monday. Our ideal team member will be able to multitask and monitor multiple robots on screen for a majority of their shift. They would be open to learning about the inner workings of the robot, and how to service and maintain it.
No prior experience is necessary!
Responsibilities:Remote monitoring of our robot fleet. This will require being able to multi-task & watch and man multiple robots at onceReport problems to our technical team when they ariseMaintaining property cleanliness in the event that the robot is not able to perform its dutiesPerform basic diagnostic checks & fixes on robots that require attention (all training will be provided)
Qualifications:Must be able to work on a computer for a majority of the dayMust be tech-savvy and understand how to use multiple different appsMust be able to multi-taskMust be able to work with a team and with minimal supervisionMust be able to lift heavy objects (20+ lbs)Must be able to take on multiple roles outside of job descriptionMust have work authorization in the United StatesNot a remote position
Preferred (Not Required):Experience working with hand/power toolsExperience with building and troubleshooting electronic/mechanical systems
Benefits:Health InsuranceDental InsuranceVision Insurance
Hours:7pm - 3am
Job Type: Full-time
Salary: From $20.00 per hour
Benefits:Dental insuranceFlexible scheduleFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offVision insurance
Schedule:5x88 hour shiftEvening shiftEvery weekendNight shiftOvernight shift
Application Question(s):Are you able to work 7pm - 3am?What is your earliest start date?A majority of the shift will be spent on a computer monitoring the robots. Is this something that you can do?We are only looking for somebody to work full time, 5 days a week. They must work Friday & one weekend day on their regular schedule. Preference will be given to those who can work Fri-Sun on their regular schedule. Which days would you like to have off?
Work Location: In person"
89,"GENERAL DEFINITION OF WORK:Plan, organize, and direct the functions of the Public Works Department including construction, maintenance and repair of city streets and storm drains, management of the solid waste contract, water and sewer system maintenance and repair and operation of water treatment plants.
NOTE: This position will have a durational collaborative partnership with the Executive Director of Public Works until the impending 2025 retirement date.
ORGANIZATIONAL ACCOUNTABILITY:City of Germantown public servants exist, first and foremost, to protect and enhance the quality of life of those we serve; every position on the Germantown team has a shared responsibility and accountability to fulfill this purpose. Through the constant alignment of individual actions, behaviors and performance with our organization’s values system, Germantown public servants demonstrate a steadfast commitment to our greater mission of Excellence. Every day. As a mission-driven, values-centered organization, the expectation of senior leaders is to model ‘The Germantown Way’ at all times for those they influence and interact with daily.
ESSENTIAL JOB FUNCTIONS:Plan, direct and coordinate, through subordinate level managers, activities of employees responsible for the maintenance of streets, storm drains, and sewer systems; solid waste management, animal shelter operations and operation and maintenance of the City’s water supply and distribution system.Meet with management staff to identify and resolve problems; assign projects and programmatic areas of responsibility and review and evaluate the efficiency and effectiveness of services provided.Develop and implement department policies and procedures, and plan and direct the implementation of the department’s short-and long-term goals, objectives, and strategies in accordance with City mission.Collaborate with City Engineer in the planning, design, construction and inspection of public works projects.Direct the preparation of plans, specifications, estimates, and contracts for public works projects, including streets, sewer, storm drains, solid waste and municipal water systems.Prepare and recommend budget requirements including capital improvement program for Public Works and manage expenditures for the department; develop and monitor grant-funded programs.Direct and oversee the negotiation and administration of various public works contracts including residential solid waste collection and recycling.Conduct studies and prepares reports on proposed improvements, repairs, or changes in public works.Direct or participate in the preparation of reports relative to the department operational programs.Review legislation to ensure compliance with laws, regulations, statures, and codes that impact Department operations.Respond to difficult citizen inquiries and complaints; investigate requests to determine action to be taken.Represents the City of Germantown in the area of public works on a variety of local, state, regional and national boards, commissions, committees and associations.Assist the Asst. City Administrator and the Mayor and Board of Aldermen on environmental and public work service-related matters. OTHER JOB FUNCTIONS:1. Performs related tasks as required. KNOWLEDGE, SKILLS AND ABILITIES:Knowledge of the engineering principles, practices, and methods as applied to planning, design, construction, and maintenance of public work facilities and systems.Knowledge of state and local laws and procedures relating to municipal public works.Knowledge of sanitary sewer collection and treatment systems, water production and distribution systems, and solid waste collection and disposal operations.Knowledge of City personnel, budget and purchasing policies and procedures.Knowledge of construction activity, interpreting plans/specifications and conducting routine construction inspections.Skill in communicating in writing and/or in person on a one-on-one basis and before groups for the purpose of justifying, defending, or negotiating significant or controversial issues.Ability to work cooperatively with City officials, boards and commissions, employees and the general public.Ability to handle confidential material in a highly professional manner.Ability to develop long-term plans and programs and to evaluate work accomplishments.Ability to plan and schedule the work of others.
EDUCATION AND EXPERIENCE: Bachelor’s degree in engineering or related field that includes major course work in engineering. An advanced degree in engineering, management, or public administration is desirable. Seven years experience in the direction of environmental and public works activities including three in a managerial capacity; or any combination of education, training, and experience providing the necessary knowledge, skills, and abilities to perform essential job functions. WORKING CONDITIONS: Work is performed primarily in an office setting. Considerable time is spent outdoors at work site to inspect projects. During occasional emergency situations, may be exposed to extreme weather and working conditions. Walking, standing, bending, and a limited amount of crawling and climbing is required. Traveling is often required to attend meetings and conferences."
90,"Rogue is an open, inclusive company committed to fostering a diverse, equitable workplace.
At Rogue our mantra is Dare, Risk, Dream. This is an attitude that comes from relentless curiosity and a drive to question, create and inspire. A DIY spirit runs through everything we do and make. We aren't afraid to think big, get messy and risk it all when it comes to creating authentic, innovative products that we are passionate about.
Job OverviewOur National Sales Manager has a great opportunity to help support and lead a nationwide internal team as well as a robust wholesaler network in all markets outside of the Pacific NW. We’re looking for a high energy, organized and detail oriented sales leader with proven success leading a team, managing complex wholesaler networks, and supporting growing and expanding brands.
The day-to-day objective of the National Sales Manager is to support our nationwide team to help drive profitable growth in sales revenue through planning, execution, and management of Rogue’s customers. This position focuses on working with our existing Regional Managers and Directors to grow the business across multiple channels. From helping to plan and execute on annual business plans, to day to day execution of programs, this role will help us continue to grow our brand equity nationwide.This position works remotely but must be near a major airport.
Essential Duties and ResponsibilitiesHelp create and execute nationwide plans, including revenue and volume goals, long-term growth plan, go-to-market strategy, sales team incentives, and annual T&E budgeting.Develop Annual Business Plan for key retailers. Identify resources needed to successfully execute the plan and track execution of the programs.Develop sales and spending budgets and make certain the sales team use the resources for optimal impact.Effectively communicate with the chain sales team and work with the distributor management team to get flawless execution at retail.Establish relationships and maintain a prominent level of interaction and communication with key retail partners.Directly call on a small number of high visibility, complex retail customersCoach and support the existing Regional Sales teams in order to achieve success and professionally grow the team.Partner with other departments to create processes and deliver programs that are consistent with Rogue’s overall strategy.Understand IRI, Nielsen, VIP, and other data sources.Consistent travel to key markets (50-60%)
TravelConsistent travel to key markets and retailers. Expectation of Travel is 50-60%
Qualified candidate attributesEthical leadership – including the desire for candid and crucial conversations.Must be able to inspire and rally their direct reports and full team.Must have a vision that produces an executable plan, must be able to communicate the plan and build systems/processes to make it successful & repeatable.Must be data driven and have expert knowledge of how to use data to make decisions and build strategy.Our sales leader needs to be decisive while maintaining an approachable demeanor.Communication and Collaboration are key, our sales leader will partner with marketing and finance teams to work toward a common goal.8+ years of progressive sales experience in the beer industry.Strong relationships in both the distributor and major retailer landscape
So, why Rogue?We are a group of people who believe in the power of creating things in small batches by hand and in building things ourselves. If you love craft beverages - this is the place to be. Generous paid time off (PTO), 401(k) matching, pet benefits, comprehensive health insurance and more!
Physical DemandsThe physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. While performing the duties of this job, the employee is frequently required to sit; stand; walk; reach with hands and arms; climb or balance; stoop, kneel, crouch, or crawl; and talk or hear. The employee must frequently lift and/or move up to 40 pounds and be able to move kegs which weigh close to 165 pounds.
Reasonable AccommodationsTo perform this job successfully, an individual must be able to perform each essential duty and physical demands satisfactory with or without reasonable accommodations. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Individuals are not entitled to the accommodation of their choosing, and unreasonable accommodations, or accommodations that constitute an undue burden, will be denied."
91,"Company DescriptionThorpe Design, Inc. is a full service fire sprinkler systems contractor for residential and commercial buildings serving Northern California. We offer owners, builders and architects a pre-designed fire sprinkler system, allowing for quality, accuracy and on-time delivery. The system will be custom tailored to meet your needs and budget constraints. We are highly regarded among our peers and counterparts enabling us to build a good working rapport with the authorities having jurisdiction as well as offering guidance for budgeting, contract awards and scheduling. A combination of working experience and desire to serve your needs will provide you with an economical system which will fit into your construction schedule avoiding conflicts and delays. We look forward to serving your future fire sprinkler system requirements. Thorpe Design, Inc. has been a licensed Fire Protection Contractor since 1986.
Role DescriptionThis is a full-time on-site role for a Fire Sprinkler Designer located in Brentwood, CA. As a Fire Sprinkler Designer, you will be responsible for designing fire sprinkler systems for residential and commercial buildings adhering to NFPA 13, NFPA 14, NFPA 20, and NFPA 24. Your day-to-day tasks will include creating detailed system designs in , collaborating with engineers and architects, ensuring compliance with codes and regulations, and generating accurate drawings and documentation. You will work closely with project managers to meet project deadlines and deliver high-quality designs.
QualificationsStrong knowledge of fire protection codes and standardsExperience in designing fire sprinkler systems for residential and commercial buildingsProficiency in AutoCAD and other design softwareExcellent attention to detail and ability to generate accurate drawings and documentationStrong problem-solving and communication skillsAbility to work effectively in a team environment and handle multiple projects simultaneouslyKnowledge of hydraulic calculationsFire Sprinkler Designer certification is a plus"
92,"Position OverviewButler University's Office of Admission seeks a dynamic, experienced enrollment professional to join our team as a Midwest Regional Representative. The candidate must be detail-oriented, self-motivated, have excellent communication skills and the ability to articulate the values of Butler University.
The Assistant Director of Admission, Midwest Regional will represent the university to prospective students and assists students and families in the enrollment process. This position is responsible for all aspects of recruitment for prospective first year and transfer students. This is a remote position with the ideal candidate living in, or willing to relocate on own, to Minnesota (Minneapolis/St. Paul Metro area).
ResponsibilitiesExpand Butler University market position within the region and successfully support enrollment goals as established by University leadership Uses a strategic approach to territory management with guidance of the senior team to ensure steps are in place to meet enrollment goals Assists with the coordination of projects and programs as assigned Cultivate relationships with students, local school/college counselors, independent counselors, and community-based organizations in recruitment territory Review and holistically evaluate approximately 600-1000 applications for assigned territory Plan and execute data-driven travel based on demographic analyses, market research, and other admission data to high schools and college fairs in assigned territory; 25-100+ high school visits, 5-25+ college fairs, 10-40+ days of travel, including overnight travel Assist with various events at high schools such as application workshops and panel discussions Counsel constituents on the admission and financial aid process to support enrollment via phone, text, interview, campus visit programs, etc. Coordinate off-campus events and meetings for prospective/admitted students Host 4-6 weekly virtual meetings for families and students to connect Routinely travel to Indianapolis for training and recruitment events Assist with on campus events (Discover Butler, Open House, Butler Blue Scholars’ Day, etc.), HS counselor visit program, and Office of Admission and/or Enrollment Management Retreat Present and facilitate in-person and virtual Info Sessions and Admitted Student Visits Serve as primary liaison to other academic or student support offices, including supervisory role to secondary liaison Serve on an admission application review committee by specific College or US Match/Global MatchReview and make recommendations on applications for supplemental scholarship opportunities Interview students for scholarships (Butler Blue Scholars Day) Attend meetings, educational conferences, and training workshops Serve as member of regional ACAC Serve on new hire committees Plan interview schedule for potential candidates Present and facilitate specific sessions or workshops as part of on-campus events 
Required Qualifications A bachelor’s degree Two+ years’ college admission experience or other professional experience in working with college bound students Excellent oral and written communication skills including presentation skills Attention to detail and advanced organizational skills Experience in selective admission review processes Experience in database management and/or manipulation Strong teamwork skills for providing solutions Flexibility in a changing environment Willingness to work extra hours and/or weekends when needed Valid U.S. driver’s license, including ability to rent a car and use personal vehicle for local travel
Preferred Qualifications Previous experience in admissions/enrollment management Knowledge of PeopleSoft, Slate or other Admission CRM Previous experience in multicultural recruitment, international admission, college access Experience working in financial aid or strong knowledge base of the financial aid process Fluent in Spanish Strategic Use of Slate Technolutions 
BU Benefits and PerksPlease check out Butler’s Total Rewards website to learn more about our benefit offerings, which include:Paid Time Off and Holidays:18 days of paid time off (vacation and PTO days)8 Paid HolidaysPaid Winter Break between Christmas Eve and New Year’s DayPaid Parental Leave (after 1 year of full-time employment)Health:Comprehensive medical, dental, and vision plans including disability and life insurance programsRetirement:10% employer contribution after 1 year of full-time employmentTuition Assistance:Remission of tuition for classes taken at Butler for employees, spouses, and dependent children.Eligibility after 9 months of full-time employmentEmployees & spouses- undergraduate/graduate degreesDependents (under age 26)- undergraduate degreeCovers tuition onlyTuition Exchange Program for DependentsButler Facilities Access, Discounts and Perks:Access to Butler’s on-site fitness facility and libraries for full-time staff and facultyLinkedIn Learning CoursesFree premium subscription to the Calm AppFree subscription to the WSJ and NYTDiscount at the College BookstoreDiscount on select Athletic and Arts/Events Center Performances
About ButlerButler University is a private, nationally recognized comprehensive university encompassing six colleges: Arts, Business, Communication, Education, Liberal Arts & Sciences, and Pharmacy & Health Sciences. Approximately 4,500 undergraduate and 1,000 graduate and doctoral students are enrolled at Butler, representing 46 states and 24 countries.
Join us at the crossroads of tradition & transformation. A career at Butler University means so much more than a job. Join the dedicated, innovative, and supportive community of faculty and staff that is moving Butler Beyond.
Butler University is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive and equitable environment for all employees. We welcome applications from all individuals, regardless of age, gender, gender identity, sex, race, religion, color, disability, protected veteran status, sexual orientation, national origin, or any other legally protected category."
93,"Overview of ĀTHŌSWe are wealth advisors who provide investment management and personal financial strategy to founders, executives, and professionals. We know that the best planning takes place at the beginning, and we work with families and individuals long before their locked-up wealth is realized. 
Job DescriptionThe Executive Assistant is a core component of ĀTHŌS. He or she will work side-by-side with other team members in keeping the business and administrative activities on track. This is a full-time role. 
Responsibilities· Administrative duties, such as scheduling calls & meetings for the CEO and COO· New client onboarding· Direct communication with clients· Email Management and Calendaring· Creation of processes to improve organization across the firm· Event planning, including client events & dinners· Personal assistance to the CEO· Other ad-hoc administrative and business tasks as needed
Minimum Qualifications· Either a Bachelor’s degree with prior executive administrative experience OR· 3+ years experience in an executive assistant position· Self-starter with an entrepreneurial growth mindset and strong communication skills· Strong background utilizing Microsoft office, scanners & Microsoft office tools· Ability to quickly learn new tools & tasks and improve on them (some exposure to finance is helpful)
Compensation· Competitive salary + Bonus + Potential for Profit-share· Full benefits including health & dental insurance, retirement benefits & paid time-off"
94,"Director of OperationsAlliance for Strategic Growth, Inc. (ASG, Inc.) (d/b/a Eastern Indiana Works) serves as the Eastern Indiana Workforce Development Board convenes multi-sector leaders to design and implement exceptional initiatives that meet workforce demands and contribute to the sustainable prosperity of Eastern Indiana (Economic Growth Region 6). 
The Director of Operations is responsible for promoting EIW’s established programming (JAG & Career Services) to the community. This role will ensure successful implementation and coordination of our initiatives to advance our mission through serving our clients and community well. 
POSITION OVERVIEW • Incumbent will be the primary contact for service provider support & oversight while working closely with the Vice President of Operational Strategies to support our office service delivery. • Promote staff development in operations to ensure our clients are served well. • Prepare and submit necessary reports on initiatives to the Eastern Indiana Works Executive Team and/or funders. • Develop and support innovative strategies to continue to move the needle forward in our service delivery field. • Cultivate and maintain working relationships with regional stakeholders and community partners to help align EIW programming to community needs. • Facilitate meetings, staff trainings, and workshops as needed. • Provide dedicated project management support for select regional initiatives. 
QUALIFICATIONS• An undergraduate degree from a regionally accredited institution in a related field is preferred but years’ experience will be considered. Must have 2+ years of program management. • Non-profit experience preferred. • Previous project management, implementation, and/or planning preferred. • Proven strong presentation, facilitation, and communication skills. • Ability to plan and execute successful initiatives. • Strong analytical and problem-solving skills. • Proactive, self-motivated with the ability to meet deadlines. • Ability to engage and add value to decision-making processes. • Highly developed project and time management skills. • A passion for excellence in service. 
POSITION TYPE: Administrative, Full Time REQUIRED BEFORE HIRING: Drug Screen, Work Reference, Criminal, and Driving Records Check. COMPENSATION: Salaried, Paid-Time-Off, Health Insurance Stipend, 403(b) Retirement Option (employer match). Eastern Indiana’s Workforce Development Organization HOURS OF WORK: Mandatory 40 hours. May occasionally require more than 40 hours per week. WORK PARAMETERS: Office Space and computer equipment will be provided by Eastern Indiana Works. WORK EVALUATION: Performance is evaluated as needed and is heavily weighted towards meeting deadlines, delivery of exceptional outcomes and execution of assigned duties. REPORTS TO: Vice President of Operational Strategies. DIRECT REPORTS: Workforce Manager. INTERACTS WITH: Community partners, key stakeholders, staff, and collaborative team. TRAVEL: Periodic. Requires safe personal owned vehicle. Occasional trips outside the region for training/conferences. REIMBURSEMENTS: Mileage reimbursement established by the Internal Revenue Service. Cell phone reimbursement. Timely submission of corporate reimbursement documents is required. 
The above statements are intended to describe the general nature of work performed by the employees assigned to this job. All employees must comply with Company policies and applicable laws. The responsibilities, duties and qualifications required of personnel so classified may vary. A criminal records check and drug screen will be required prior to hiring. Random drug screens may be required by employer. Eastern Indiana Works is an equal opportunity employer."
95,"QualificationsExperience:Data Entry, 4 years (Required)Customer Service, 4 years (Preferred)Service Dispatcher, 2 years (Preferred)HVAC Industry, 2 years (Preferred)Financial Background (Preferred)Foundation Software (Preferred) BenefitsHealth insuranceDental InsuranceVision insuranceLife Insurance401(k)Paid time offPaid Holidays
HVAC/Plumbing CoordinatorGrunwald Mechanical Contractors and Engineers is seeking an experienced HVAC/Plumbing Coordinator. We are searching for a talented and motivated individual to assist our office staff and technicians. We are a casual, fast-paced environment with room to grow. Previous experience in office work, multi-tasking, a friendly can-do attitude, and exceptional customer service are a MUST!Grunwald Mechanical Contractors and Engineers has served the Omaha area for more than 120 years. We have created a great team that provides top-notch customer service. Our goal is to exceed our customers' expectations with our competitive rates and commitment to customer service. We are not satisfied unless our customers are satisfied.
PRIMARY JOB FUNCTION:Dispatch technicians as service calls come in and project future scheduling. Maintain the Service Technicians' daily schedule and work to ensure maximum scheduling efficiency without compromising customer service. Collect all billing/service call information from every company/homeowner. Organize preventative maintenance schedules and information with a year-long projection of work.
JOB DUTIES:Responsible for specific duties daily such as but not limited to:Receive calls from customers requesting service calls. Create, open, assign, and/or close work order requests & schedule service technicians throughout the day to be in line with their department and abilities (Plumbing & HVAC services) and respond to any voicemail messages.Evaluate the customer's situation and match the appropriate service technician.Confirm the customer's information and obtain details as to what the service call entails.Call the customers to notify them that the technicians are en route.Assist in the technician's follow-ups: schedule return trips, assist in ordering parts, etc.Forecast the dispatch board for the upcoming days for all incoming jobs to align with appropriate technicians.Communicating thoroughly with the service manager will all troubled calls and/or customers.Respond to all customer inquiries, questions, and complaints.Prepare purchase orders and apply them to the appropriate customer's job.Follow up on all pending and recommended work with customersOther assigned duties as directed by management.Utilize GPS tracking software to run truck reports, cross-reference ticket times, and provide system-generated reports when required.Maintain service department customer site information, including updating equipment lists, entering model & serial numbers, location on site, warranty information, etc.Enter preventative maintenance contracts into software, schedule, and set billing cycles.Process accounts payable for service, bill service calls, and place collection calls for past-due service invoices. File liens as necessary and determine which accounts to turn over to outside collection agencies.
POSITION REQUIREMENTS:High school diploma or equivalent (Required)Must be a team player with a positive attitude.Ability to prioritize and coordinate multiple tasks and willing to take on challengesStrong problem-solving skillsDetail-orientedAbility to learn company-specific softwareAbility to coordinate and direct the activity of others who are not direct reportsExcellent oral and written communication skillsExcellent phone and communication skillsOutgoing and enthusiastic personalityExcellent written and verbal skills to complete all assigned tasksCustomer service and daily communication are requiredStrong ability to interact with customers and co-workers in a friendly and professional mannerStrong work ethicAbility to produce correspondence using correct grammar and spelling
"
96,"The firm:Dynamic SRG is a boutique political consulting firm that specializes in fundraising for top-tier candidates and organizations at the city, county, state, and federal levels. For over a decade, our firm has been recognized among the top political consultants in New York. The position:We are seeking a motivated, well-organized individual with hustle to join our team as a Fundraising Associate. This role will work closely with the firm's partners & directly managing fundraising operations for our firm’s clients. Position begins immediately and lasts through December 2024 with a potential option to renew in 2025.This work includes, but is not limited to: Overseeing the operations of and serving as the primary contact to 1 to 3 of the firm’s clientsEngaging with existing & potential donors as well as candidates/elected officialsConducting donor research & preparing briefingsPlanning & executing fundraising eventsProviding staff support at fundraising events & meetingsDesigning event invitations and contribution pagesCreating and sending blast emails and textsManaging social media for select clientsData entry & database managementTasking and managing intern projects. Tracking multiple projects and advising when workload needs prioritization or adjustment in either direction. Qualifications and Experience:Minimum of 1 cycle of campaign experience in fundraising, 2-4 cycles in field, government offices, or related work.o Fundraising experience preferredo Strong preference for familiarity with NGP/VAN, ActBlue and Numero Familiarity with Microsoft Office & Google DriveStrong writing and communication skillsAbility to handle multiple clients/projects simultaneouslyWillingness to work a flexible schedule that includes some nights & occasional weekends. Ability to occasionally travel to Albany and/or candidates' districts Salary and Benefits:Salary starting at $4,000 + per month, depending on experiencePosition is hybrid/remote. Must be NYC Metro based.401(k) after 6 months with employer match2 weeks paid vacation in the first year (one of which is Christmas-New Years), 3 weeks in following year. Most federal holidays are off. Application Process:Please send a resume & cover letter to Connect@DynamicSRG.com with you name and position applied for in the subject line."
97,"Global Sculpted Streetwear fashion brand, Naked Wardrobe, is searching to hire a highly creative Social Media Coordinator to develop, write and share innovative content with the world to drive sales and while building brand awareness on all social media platforms. This candidate will be working alongside our marketing team to ensure customer engagement, brand consistency, and a positive customer experience. Responsibilities: Execute content scheduling, social moderation, and analytics for company social media channelsAnalyzes and reports on audience demographics and engagement metrics, social media campaigns, and online reviews/feedbackPropose new ideas and concepts for social media content and productsUse timelines and scheduled content to create a constant stream of new content for audience interaction to optimize visits Qualifications Bachelors degree preferredTech and social media expert (IG, FB, TikTok, Pinterest, SnapChat, etc).3-5 experience in marketing within the fashion/retail industryExpertise in multiple social media platforms with experience in content/marketing calendars, scheduling, community moderation and social analytic skillsExcellent copywriting skillsAbility to identify and produce creative contentRemain innovative by setting trends in digital technologies and act proactivelyExcellent communication and collaboration skillsMust reside in or near Los Angeles. "
98,"Executive Cleaning Services, Inc. is not a maid service, but has been offering specialized cleaning services to primarily high-end residential clients for over 35 years in the greater Omaha area. We offer window cleaning, power washing, carpet cleaning, air duct and dryer vent cleaning, gutter cleaning and more.
We are in the process of filling multiple lead technician positions. We are looking for high character, clean cut, individuals with great interpersonal skills to work with our amazing clients.
We will train for the specialized skill and technique set for each position, but are looking for detail-minded individuals that have prior experience in the skilled trades or have extensive experience working with their hands in manual labor types of jobs. Must have prior experience safely and confidently working on extension ladders up to 32 feet in height.
Must be able to work proficiently outdoors in all types of weather, hot or cold. Due to the fact that we also work in clients homes, honesty and integrity are a must, and therefore we do thorough background and police record checks.
Any prior record of theft would disqualify an individual. Lead technicians drive company trucks from our location in downtown Millard and are required to have a clean driving record with no DUI records in the last 5 years.
Executive Cleaning Services property and vehicles and our clients properties are smoke-free zones. Smoking is not permitted on the job.
If you have a positive attitude, are teachable, physically fit, enjoy manual labor, can work in a fast paced environment, and are punctual and dependable, you can excel in this position. We have amazing clients that appreciate exceptional service and reward our technicians with tips. Lead technicians can expect to make $500-$1000+ a month in tips in addition to regular wages."
